key,en,fr
achievements.GAM_B_WON.descr.one,You won your first game,Tu a gagné ta première partie
achievements.GAM_B_WON.descr.other,You won %d games,Tu as gagné %d parties
achievements.GAM_B_00_WON.title,Imperator,Imperator
achievements.GAM_B_01_WON.title,Pyrrhus,Pyrrhus
achievements.GAM_B_02_WON.title,Napoleon,Napoléon
achievements.GAM_B_LOST.descr.one,You lost your first game,Tu as perdu ta première partie
achievements.GAM_B_LOST.descr.other,You lost %d games,Tu as perdu %d parties
achievements.GAM_B_00_LOST.title,Perseverance I,Persévérant I
achievements.GAM_B_01_LOST.title,Perseverance II,Persévérant II
achievements.GAM_B_02_LOST.title,Perseverance III,Persévérant III
achievements.EVE_B_ATTENDED.descr.one,Attend to your first event,Tu as participé à un premier événement
achievements.EVE_B_ATTENDED.descr.other,Attend %d events,Tu as participé à %d événements
achievements.EVE_B_00_ATTENDED.title,Novice componion,Compognon novice
achievements.EVE_B_01_ATTENDED.title,Veteran componion,Compognon vétéran
achievements.EVE_B_02_ATTENDED.title,Componion among componions,Compognon parmi les compognons
achievements.GAM_B_PLAYED.descr.one,You played to your first game,Tu as joué à ta première partie
achievements.GAM_B_PLAYED.descr.other,You played to %d games,Tu as joué à %d parties
achievements.GAM_B_00_PLAYED.title,Bachelor,Bachelier
achievements.GAM_B_01_PLAYED.title,Master I,Master I
achievements.GAM_B_02_PLAYED.title,Master II,Master II
achievements.BGA_B_OWNED.descr.one,Own your first board game,Tu as acquis ton premier jeu
achievements.BGA_B_OWNED.descr.other,Own %d boardgames,Tu possèdes %d jeux
achievements.BGA_B_00_OWNED.title,Amateur,Amateur
achievements.BGA_B_01_OWNED.title,Collector I,Collectionneur I
achievements.BGA_B_01_OWNED.title,Collector II,Collectionneur II
achievements.BGA_B_01_OWNED.title,Collector III,Collectionneur III
achievements.BGA_B_PLAYED.descr,You have played %d discinct board games,Tu as joué à %d jeux différents
achievements.BGA_B_00_PLAYED.title,Eclectic I,Éclectique I
achievements.BGA_B_01_PLAYED.title,Eclectic II,Éclectique II
achievements.BGA_B_02_PLAYED.title,Eclectic III,Éclectique III
achievements.BGA_B_03_PLAYED.title,Eclectic IV,Éclectique IV
achievements.BGA_A_TASTEFUL.descr,"Own 7 wonders, Scythe and Inis","Tu possèdes 7 Wonders, Scythe et Inis"
achievements.BGA_A_TASTEFUL.title,Good taste,Goût distingué
achievements.INT_A_EASTEREGG-ONION.descr,You found yourself a new componion :),Tu t'es trouvé un nouveau compognon :)
achievements.INT_A_EASTEREGG-ONION.title,Onion Steak Haché!,Onion Steak Haché!
